age,job,marital,education,default,balance,housing,loan,contact,month,month_date,duration,campaign,poutcome,subscribed,subscribed_bin,balance_segment,segment,propension_score,score_decile,priorite
35,management,divorced,tertiary,no,3837,yes,no,,may,2025-05-01,1084,1,,yes,1,Q4 — Solde élevé,CHAUD,0.8592300658027849,D8,PRIORITÉ 1 — Contacter en urgence
32,blue-collar,single,primary,no,611,yes,no,,may,2025-05-01,541,3,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.5154980640538545,D6,PRIORITÉ 2 — À qualifier
49,services,married,secondary,no,-8,yes,no,,may,2025-05-01,1119,1,,yes,1,Q1 — Faible solde,TIÈDE,0.8674636089541131,D9,PRIORITÉ 1 — Contacter en urgence
41,admin.,married,secondary,no,55,yes,no,,may,2025-05-01,1120,2,,yes,1,Q1 — Faible solde,TIÈDE,0.8484457384614683,D8,PRIORITÉ 1 — Contacter en urgence
49,admin.,divorced,secondary,no,168,yes,yes,,may,2025-05-01,513,1,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.39553534818529,D5,PRIORITÉ 2 — À qualifier
28,admin.,divorced,secondary,no,785,yes,no,,may,2025-05-01,442,2,,yes,1,Q3 — Solde moyen-haut,CHAUD,0.1874402970455958,D4,PRIORITÉ 3 — Nurturing
43,management,single,tertiary,no,2067,yes,no,,may,2025-05-01,756,1,,yes,1,Q4 — Solde élevé,CHAUD,0.6841294698735294,D6,PRIORITÉ 1 — Contacter en urgence
43,management,divorced,tertiary,no,388,yes,no,,may,2025-05-01,2087,2,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.8903370691666459,D9,PRIORITÉ 1 — Contacter en urgence
43,blue-collar,married,primary,no,-192,yes,no,,may,2025-05-01,1120,2,,yes,1,Q1 — Faible solde,TIÈDE,0.8683882267176799,D9,PRIORITÉ 1 — Contacter en urgence
37,unemployed,single,secondary,no,381,yes,no,,may,2025-05-01,985,2,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.8633034838835922,D8,PRIORITÉ 1 — Contacter en urgence
35,blue-collar,single,secondary,no,40,yes,no,,may,2025-05-01,617,4,,yes,1,Q1 — Faible solde,FROID,0.5907714636045633,D6,PRIORITÉ 2 — À qualifier
31,technician,single,tertiary,no,22,yes,no,,may,2025-05-01,483,3,,yes,1,Q1 — Faible solde,TIÈDE,0.3586771070816034,D5,PRIORITÉ 2 — À qualifier
43,blue-collar,single,secondary,no,3,yes,no,,may,2025-05-01,929,3,,yes,1,Q1 — Faible solde,TIÈDE,0.8659828753672273,D9,PRIORITÉ 1 — Contacter en urgence
31,admin.,married,secondary,no,307,yes,no,,may,2025-05-01,538,1,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.4952146353501099,D5,PRIORITÉ 2 — À qualifier
28,blue-collar,single,secondary,no,759,yes,no,,may,2025-05-01,710,1,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.8042569677855617,D8,PRIORITÉ 1 — Contacter en urgence
32,blue-collar,married,secondary,yes,-1,yes,no,,may,2025-05-01,653,1,,yes,1,Q1 — Faible solde,FROID,0.6650016761428348,D6,PRIORITÉ 1 — Contacter en urgence
60,technician,married,primary,no,65,yes,no,,may,2025-05-01,1028,2,,yes,1,Q1 — Faible solde,TIÈDE,0.8355318063597683,D8,PRIORITÉ 1 — Contacter en urgence
26,blue-collar,single,secondary,no,82,yes,no,,may,2025-05-01,654,1,,yes,1,Q1 — Faible solde,TIÈDE,0.7661378880910501,D7,PRIORITÉ 1 — Contacter en urgence
40,blue-collar,married,secondary,no,10,yes,no,,may,2025-05-01,1692,2,,yes,1,Q1 — Faible solde,TIÈDE,0.8903117905145518,D9,PRIORITÉ 1 — Contacter en urgence
33,blue-collar,divorced,primary,no,390,yes,no,,may,2025-05-01,665,2,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.7140648824881389,D7,PRIORITÉ 1 — Contacter en urgence
32,management,single,tertiary,no,311,no,no,,may,2025-05-01,757,2,,yes,1,Q2 — Solde moyen-bas,CHAUD,0.6868169524170369,D6,PRIORITÉ 1 — Contacter en urgence
35,blue-collar,married,primary,no,414,no,no,,may,2025-05-01,504,4,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.3899569837062728,D5,PRIORITÉ 2 — À qualifier
33,management,divorced,secondary,no,5,yes,no,,may,2025-05-01,1346,1,,yes,1,Q1 — Faible solde,TIÈDE,0.899848703215839,D9,PRIORITÉ 1 — Contacter en urgence
38,management,married,tertiary,no,119,yes,no,,may,2025-05-01,568,4,,yes,1,Q1 — Faible solde,TIÈDE,0.4358380354474968,D5,PRIORITÉ 2 — À qualifier
23,entrepreneur,single,primary,no,4,yes,no,,may,2025-05-01,395,2,,yes,1,Q1 — Faible solde,TIÈDE,0.2080583537510177,D4,PRIORITÉ 3 — Nurturing
60,blue-collar,married,primary,no,1262,yes,yes,,may,2025-05-01,1015,1,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.8124438976844731,D8,PRIORITÉ 1 — Contacter en urgence
48,management,married,tertiary,no,1949,yes,no,,may,2025-05-01,683,2,,yes,1,Q4 — Solde élevé,CHAUD,0.6815460685163993,D6,PRIORITÉ 1 — Contacter en urgence
45,entrepreneur,divorced,tertiary,no,-395,yes,no,,may,2025-05-01,470,1,,yes,1,Q1 — Faible solde,TIÈDE,0.2449624902141431,D4,PRIORITÉ 3 — Nurturing
36,blue-collar,married,secondary,no,1165,yes,no,,may,2025-05-01,1001,4,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.8272170198213753,D8,PRIORITÉ 1 — Contacter en urgence
52,management,married,,no,2240,yes,no,,may,2025-05-01,845,1,,yes,1,Q4 — Solde élevé,CHAUD,0.7837554780036985,D7,PRIORITÉ 1 — Contacter en urgence
35,blue-collar,divorced,primary,no,300,yes,no,,may,2025-05-01,945,2,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.8619882214032996,D8,PRIORITÉ 1 — Contacter en urgence
43,technician,married,secondary,no,3285,yes,no,,may,2025-05-01,1721,2,,yes,1,Q4 — Solde élevé,TIÈDE,0.8719641762016255,D9,PRIORITÉ 1 — Contacter en urgence
52,housemaid,married,secondary,no,3923,yes,no,,may,2025-05-01,942,3,,yes,1,Q4 — Solde élevé,TIÈDE,0.8304220004772862,D8,PRIORITÉ 1 — Contacter en urgence
53,technician,divorced,primary,no,1443,yes,no,,may,2025-05-01,476,1,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.3779589751561164,D5,PRIORITÉ 2 — À qualifier
48,blue-collar,divorced,primary,no,24,yes,no,,may,2025-05-01,832,1,,yes,1,Q1 — Faible solde,TIÈDE,0.8232449880785071,D8,PRIORITÉ 1 — Contacter en urgence
41,blue-collar,single,primary,no,1618,yes,no,,may,2025-05-01,1553,1,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.8929035588440334,D9,PRIORITÉ 1 — Contacter en urgence
39,management,divorced,tertiary,no,517,yes,yes,,may,2025-05-01,1328,1,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.8921378766798174,D9,PRIORITÉ 1 — Contacter en urgence
59,retired,married,secondary,no,1521,yes,yes,,may,2025-05-01,1125,2,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.8196112131992443,D8,PRIORITÉ 1 — Contacter en urgence
41,blue-collar,married,secondary,no,2823,yes,no,,may,2025-05-01,858,1,,yes,1,Q4 — Solde élevé,TIÈDE,0.7942277955324017,D7,PRIORITÉ 1 — Contacter en urgence
48,blue-collar,married,secondary,no,1405,yes,no,,may,2025-05-01,629,2,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.5030167544689879,D5,PRIORITÉ 2 — À qualifier
40,admin.,married,secondary,no,1535,yes,no,,may,2025-05-01,704,1,,yes,1,Q3 — Solde moyen-haut,CHAUD,0.7304426712346084,D7,PRIORITÉ 1 — Contacter en urgence
48,blue-collar,married,secondary,no,1596,yes,no,,may,2025-05-01,760,1,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.6905684913173875,D6,PRIORITÉ 1 — Contacter en urgence
60,retired,married,primary,no,1542,yes,no,,may,2025-05-01,930,1,,yes,1,Q3 — Solde moyen-haut,CHAUD,0.809426132512666,D8,PRIORITÉ 1 — Contacter en urgence
40,technician,single,,no,3652,yes,no,,may,2025-05-01,1028,2,,yes,1,Q4 — Solde élevé,TIÈDE,0.851386748339676,D8,PRIORITÉ 1 — Contacter en urgence
57,technician,married,tertiary,no,-1,no,no,,may,2025-05-01,850,2,,yes,1,Q1 — Faible solde,TIÈDE,0.7745809110607955,D7,PRIORITÉ 1 — Contacter en urgence
51,blue-collar,married,secondary,no,7180,yes,no,,may,2025-05-01,927,1,,yes,1,Q4 — Solde élevé,TIÈDE,0.8363747661478173,D8,PRIORITÉ 1 — Contacter en urgence
41,blue-collar,divorced,secondary,no,5291,yes,no,,may,2025-05-01,1423,3,,yes,1,Q4 — Solde élevé,TIÈDE,0.8736827909240715,D9,PRIORITÉ 1 — Contacter en urgence
41,blue-collar,married,secondary,no,1384,yes,no,,may,2025-05-01,1162,4,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.8272170198213753,D8,PRIORITÉ 1 — Contacter en urgence
52,blue-collar,divorced,primary,no,-191,yes,no,,may,2025-05-01,755,1,,yes,1,Q1 — Faible solde,TIÈDE,0.7564677171980151,D7,PRIORITÉ 1 — Contacter en urgence
59,blue-collar,married,primary,no,320,yes,no,,may,2025-05-01,695,1,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.7114739817436199,D7,PRIORITÉ 1 — Contacter en urgence
44,blue-collar,married,,no,146,yes,no,,may,2025-05-01,483,1,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.3411450624877213,D5,PRIORITÉ 3 — Nurturing
49,,married,primary,no,341,yes,yes,,may,2025-05-01,520,2,,yes,1,Q2 — Solde moyen-bas,FROID,0.449116387021051,D5,PRIORITÉ 2 — À qualifier
40,services,married,primary,no,-9,yes,no,,may,2025-05-01,920,2,,yes,1,Q1 — Faible solde,TIÈDE,0.8346578668428565,D8,PRIORITÉ 1 — Contacter en urgence
41,admin.,married,primary,no,-306,yes,no,,may,2025-05-01,500,1,,yes,1,Q1 — Faible solde,TIÈDE,0.3878588411927797,D5,PRIORITÉ 2 — À qualifier
44,technician,married,tertiary,no,4580,yes,no,,may,2025-05-01,911,2,,yes,1,Q4 — Solde élevé,TIÈDE,0.8152679752515565,D8,PRIORITÉ 1 — Contacter en urgence
60,services,single,primary,no,313,yes,no,,may,2025-05-01,920,2,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.820365249991457,D8,PRIORITÉ 1 — Contacter en urgence
29,management,married,tertiary,no,10576,no,no,,may,2025-05-01,1224,2,,yes,1,Q4 — Solde élevé,CHAUD,0.905081475264064,D9,PRIORITÉ 1 — Contacter en urgence
41,retired,divorced,primary,no,-233,yes,no,,may,2025-05-01,1156,2,,yes,1,Q1 — Faible solde,TIÈDE,0.8952014406553215,D9,PRIORITÉ 1 — Contacter en urgence
41,blue-collar,married,primary,no,2453,yes,no,,may,2025-05-01,1052,1,,yes,1,Q4 — Solde élevé,TIÈDE,0.8205242487333188,D8,PRIORITÉ 1 — Contacter en urgence
42,technician,single,secondary,no,1364,yes,no,,may,2025-05-01,1867,6,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.8874809345914061,D9,PRIORITÉ 1 — Contacter en urgence
36,services,single,,no,281,yes,no,,may,2025-05-01,515,1,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.3841075655325381,D5,PRIORITÉ 2 — À qualifier
39,technician,married,tertiary,no,94,yes,yes,,may,2025-05-01,813,1,,yes,1,Q1 — Faible solde,FROID,0.8346507498288984,D8,PRIORITÉ 1 — Contacter en urgence
31,self-employed,single,tertiary,no,144,yes,no,,may,2025-05-01,676,1,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.7015416981439762,D7,PRIORITÉ 1 — Contacter en urgence
26,blue-collar,married,secondary,no,246,yes,no,,may,2025-05-01,1143,3,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.8725256786833105,D9,PRIORITÉ 1 — Contacter en urgence
31,blue-collar,married,secondary,no,92,yes,no,,may,2025-05-01,688,1,,yes,1,Q1 — Faible solde,TIÈDE,0.7156463149627471,D7,PRIORITÉ 1 — Contacter en urgence
29,admin.,single,secondary,no,163,yes,yes,,may,2025-05-01,803,1,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.8669759461091403,D9,PRIORITÉ 1 — Contacter en urgence
37,services,divorced,secondary,no,49,yes,no,,may,2025-05-01,619,2,,yes,1,Q1 — Faible solde,TIÈDE,0.5722764202884529,D6,PRIORITÉ 2 — À qualifier
33,blue-collar,single,secondary,no,-416,yes,no,,may,2025-05-01,767,2,,yes,1,Q1 — Faible solde,TIÈDE,0.7574966376653318,D7,PRIORITÉ 1 — Contacter en urgence
24,technician,single,secondary,no,409,yes,no,,may,2025-05-01,912,1,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.9044334592552832,D9,PRIORITÉ 1 — Contacter en urgence
50,admin.,divorced,secondary,no,363,yes,no,,may,2025-05-01,1340,1,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.8810139272679057,D9,PRIORITÉ 1 — Contacter en urgence
27,technician,single,tertiary,no,3706,yes,no,,may,2025-05-01,897,1,,yes,1,Q4 — Solde élevé,TIÈDE,0.8850851252901215,D9,PRIORITÉ 1 — Contacter en urgence
54,management,single,tertiary,no,4393,yes,no,,may,2025-05-01,1297,3,,yes,1,Q4 — Solde élevé,CHAUD,0.8480941872676951,D8,PRIORITÉ 1 — Contacter en urgence
30,technician,single,secondary,no,863,yes,no,,may,2025-05-01,1193,5,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.8796513000909147,D9,PRIORITÉ 1 — Contacter en urgence
34,blue-collar,married,primary,no,695,yes,yes,,may,2025-05-01,1064,4,,yes,1,Q3 — Solde moyen-haut,FROID,0.845259479273954,D8,PRIORITÉ 1 — Contacter en urgence
37,management,single,secondary,no,792,yes,no,,may,2025-05-01,1187,4,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.8515914073014135,D8,PRIORITÉ 1 — Contacter en urgence
41,admin.,single,secondary,no,1020,yes,no,,may,2025-05-01,882,1,,yes,1,Q3 — Solde moyen-haut,CHAUD,0.8344742885245212,D8,PRIORITÉ 1 — Contacter en urgence
47,blue-collar,married,secondary,no,863,yes,no,,may,2025-05-01,943,2,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.8256085313860855,D8,PRIORITÉ 1 — Contacter en urgence
31,admin.,married,secondary,no,97,yes,no,,may,2025-05-01,607,1,,yes,1,Q1 — Faible solde,TIÈDE,0.4705984566153547,D5,PRIORITÉ 2 — À qualifier
31,blue-collar,married,secondary,no,754,yes,no,,may,2025-05-01,1022,4,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.8333498678493689,D8,PRIORITÉ 1 — Contacter en urgence
43,services,divorced,secondary,no,1040,yes,no,,may,2025-05-01,552,3,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.4925290023322822,D5,PRIORITÉ 2 — À qualifier
37,management,divorced,tertiary,no,122,yes,no,,may,2025-05-01,1622,2,,yes,1,Q1 — Faible solde,TIÈDE,0.8946257063245109,D9,PRIORITÉ 1 — Contacter en urgence
30,technician,single,tertiary,no,880,yes,yes,,may,2025-05-01,967,6,,yes,1,Q3 — Solde moyen-haut,FROID,0.8940900499853635,D9,PRIORITÉ 1 — Contacter en urgence
41,technician,married,secondary,no,501,yes,no,,may,2025-05-01,579,5,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.4645490571677426,D5,PRIORITÉ 2 — À qualifier
36,blue-collar,married,secondary,no,4438,yes,no,,may,2025-05-01,446,1,,yes,1,Q4 — Solde élevé,TIÈDE,0.1371175939392119,D4,PRIORITÉ 4 — Ne pas contacter
35,blue-collar,divorced,secondary,no,0,yes,no,,may,2025-05-01,1205,1,,yes,1,Q1 — Faible solde,TIÈDE,0.8909933567502405,D9,PRIORITÉ 1 — Contacter en urgence
29,services,single,secondary,no,271,yes,no,,may,2025-05-01,1882,2,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.9070234371581104,D9,PRIORITÉ 1 — Contacter en urgence
35,blue-collar,married,primary,no,102,yes,no,,may,2025-05-01,1334,1,,yes,1,Q1 — Faible solde,TIÈDE,0.8372542508971135,D8,PRIORITÉ 1 — Contacter en urgence
31,blue-collar,married,secondary,no,2,yes,no,,may,2025-05-01,182,2,,yes,1,Q1 — Faible solde,TIÈDE,0.0237185634726697,D1,PRIORITÉ 4 — Ne pas contacter
35,services,married,secondary,no,4170,yes,no,,may,2025-05-01,1777,1,,yes,1,Q4 — Solde élevé,TIÈDE,0.8620433134135437,D8,PRIORITÉ 1 — Contacter en urgence
34,technician,single,secondary,no,85,yes,no,,may,2025-05-01,1182,4,,yes,1,Q1 — Faible solde,FROID,0.864221451491825,D8,PRIORITÉ 1 — Contacter en urgence
31,admin.,single,secondary,no,431,yes,yes,,may,2025-05-01,1045,1,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.8831774777934943,D9,PRIORITÉ 1 — Contacter en urgence
44,technician,divorced,secondary,no,982,yes,no,,may,2025-05-01,650,3,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.7233833269474743,D7,PRIORITÉ 1 — Contacter en urgence
36,blue-collar,married,primary,no,408,yes,yes,,may,2025-05-01,1063,2,,yes,1,Q2 — Solde moyen-bas,FROID,0.8424337616505185,D8,PRIORITÉ 1 — Contacter en urgence
35,blue-collar,married,,no,4822,yes,no,,may,2025-05-01,843,2,,yes,1,Q4 — Solde élevé,TIÈDE,0.7912833502618517,D7,PRIORITÉ 1 — Contacter en urgence
41,blue-collar,married,primary,no,1250,yes,no,,may,2025-05-01,1392,2,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.8271778484618596,D8,PRIORITÉ 1 — Contacter en urgence
31,blue-collar,single,primary,no,216,yes,no,,may,2025-05-01,565,1,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.494143374330963,D5,PRIORITÉ 2 — À qualifier
34,blue-collar,married,secondary,no,1207,yes,no,,may,2025-05-01,905,1,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.8028388498686655,D8,PRIORITÉ 1 — Contacter en urgence
32,technician,married,secondary,no,791,yes,no,,may,2025-05-01,783,2,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.7392578271704479,D7,PRIORITÉ 1 — Contacter en urgence
36,management,married,tertiary,no,849,yes,yes,,may,2025-05-01,958,2,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.8559020885470116,D8,PRIORITÉ 1 — Contacter en urgence
30,blue-collar,single,secondary,yes,239,yes,no,,may,2025-05-01,412,1,,yes,1,Q2 — Solde moyen-bas,FROID,0.1305198636889407,D4,PRIORITÉ 4 — Ne pas contacter
37,technician,single,secondary,no,1211,yes,no,,may,2025-05-01,795,1,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.8053800461622043,D8,PRIORITÉ 1 — Contacter en urgence
36,blue-collar,married,primary,no,599,yes,no,,may,2025-05-01,649,2,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.6541018234053473,D6,PRIORITÉ 1 — Contacter en urgence
31,management,single,tertiary,no,825,yes,no,,may,2025-05-01,506,2,,yes,1,Q3 — Solde moyen-haut,CHAUD,0.3980055184836951,D5,PRIORITÉ 2 — À qualifier
27,technician,married,secondary,no,2183,yes,yes,,may,2025-05-01,857,1,,yes,1,Q4 — Solde élevé,TIÈDE,0.8506724821845114,D8,PRIORITÉ 1 — Contacter en urgence
34,retired,married,primary,no,4499,no,no,,may,2025-05-01,1681,1,,yes,1,Q4 — Solde élevé,CHAUD,0.8881474447858342,D9,PRIORITÉ 1 — Contacter en urgence
30,technician,single,tertiary,no,1289,yes,no,,may,2025-05-01,1697,2,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.8827089496491041,D9,PRIORITÉ 1 — Contacter en urgence
32,technician,single,tertiary,no,4665,yes,no,,may,2025-05-01,860,2,,yes,1,Q4 — Solde élevé,TIÈDE,0.8299213027534031,D8,PRIORITÉ 1 — Contacter en urgence
37,technician,single,secondary,no,3326,yes,no,,may,2025-05-01,799,1,,yes,1,Q4 — Solde élevé,TIÈDE,0.8072059389074759,D8,PRIORITÉ 1 — Contacter en urgence
32,blue-collar,married,secondary,no,783,yes,no,,may,2025-05-01,923,3,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.8300986037662322,D8,PRIORITÉ 1 — Contacter en urgence
33,blue-collar,married,secondary,no,0,yes,no,,may,2025-05-01,521,3,,yes,1,Q1 — Faible solde,TIÈDE,0.374370793299647,D5,PRIORITÉ 2 — À qualifier
35,blue-collar,married,primary,no,994,yes,no,,may,2025-05-01,1349,8,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.8655583815967764,D9,PRIORITÉ 1 — Contacter en urgence
35,self-employed,divorced,tertiary,no,1354,yes,no,,may,2025-05-01,736,2,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.7302311283368055,D7,PRIORITÉ 1 — Contacter en urgence
30,blue-collar,single,secondary,no,239,yes,no,,may,2025-05-01,785,1,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.764426571970365,D7,PRIORITÉ 1 — Contacter en urgence
45,blue-collar,divorced,primary,no,-311,yes,no,,may,2025-05-01,1030,1,,yes,1,Q1 — Faible solde,TIÈDE,0.9140904981698864,D9,PRIORITÉ 1 — Contacter en urgence
45,admin.,married,secondary,no,149,yes,no,,may,2025-05-01,893,3,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.8202918719060038,D8,PRIORITÉ 1 — Contacter en urgence
33,blue-collar,married,secondary,no,1464,yes,no,,may,2025-05-01,588,3,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.4339112174615535,D5,PRIORITÉ 2 — À qualifier
44,management,divorced,tertiary,no,5773,no,no,,may,2025-05-01,597,6,,yes,1,Q4 — Solde élevé,CHAUD,0.5339250011650339,D6,PRIORITÉ 2 — À qualifier
40,blue-collar,married,primary,no,278,yes,no,,may,2025-05-01,1015,3,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.8272804744358908,D8,PRIORITÉ 1 — Contacter en urgence
31,blue-collar,married,secondary,no,2910,yes,no,,may,2025-05-01,1392,2,,yes,1,Q4 — Solde élevé,TIÈDE,0.8313368490761774,D8,PRIORITÉ 1 — Contacter en urgence
30,technician,married,tertiary,no,541,yes,no,,may,2025-05-01,414,2,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.1358501426432653,D4,PRIORITÉ 4 — Ne pas contacter
44,technician,divorced,secondary,no,1262,yes,no,,may,2025-05-01,788,11,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.7902206680889554,D7,PRIORITÉ 1 — Contacter en urgence
34,services,married,secondary,no,-538,yes,no,,may,2025-05-01,682,1,,yes,1,Q1 — Faible solde,TIÈDE,0.7310457942260841,D7,PRIORITÉ 1 — Contacter en urgence
37,blue-collar,married,secondary,no,125,no,no,,may,2025-05-01,679,2,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.7044140391824701,D7,PRIORITÉ 1 — Contacter en urgence
28,self-employed,single,tertiary,no,0,yes,no,,may,2025-05-01,1560,2,,yes,1,Q1 — Faible solde,TIÈDE,0.9279609510290552,D10,PRIORITÉ 1 — Contacter en urgence
32,admin.,single,secondary,no,620,yes,no,,may,2025-05-01,1234,3,,yes,1,Q3 — Solde moyen-haut,CHAUD,0.8565265617585034,D8,PRIORITÉ 1 — Contacter en urgence
37,blue-collar,divorced,secondary,no,316,yes,no,,may,2025-05-01,642,2,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.599346175018033,D6,PRIORITÉ 2 — À qualifier
34,management,married,tertiary,no,2287,yes,no,,may,2025-05-01,895,4,,yes,1,Q4 — Solde élevé,TIÈDE,0.8051194615763627,D8,PRIORITÉ 1 — Contacter en urgence
38,admin.,divorced,secondary,no,198,yes,no,,may,2025-05-01,431,2,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.142493176883145,D4,PRIORITÉ 4 — Ne pas contacter
28,admin.,single,secondary,no,460,yes,no,,may,2025-05-01,741,6,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.8156119260645474,D8,PRIORITÉ 1 — Contacter en urgence
31,management,divorced,tertiary,no,1145,yes,no,,may,2025-05-01,1272,4,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.8689848776639861,D9,PRIORITÉ 1 — Contacter en urgence
59,services,married,secondary,no,-22,yes,no,,may,2025-05-01,748,3,,yes,1,Q1 — Faible solde,TIÈDE,0.7375964706632282,D7,PRIORITÉ 1 — Contacter en urgence
