age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,subscribed,subscribed_bin,never_contacted,balance_segment,segment,propension_score,score_decile,priorite
43,blue-collar,single,secondary,no,3,yes,no,,9,may,929,3,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.8659828753672273,D9,PRIORITÉ 1 — Contacter en urgence
31,admin.,married,secondary,no,307,yes,no,,9,may,538,1,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.49521463535010996,D5,PRIORITÉ 2 — À qualifier
28,blue-collar,single,secondary,no,759,yes,no,,9,may,710,1,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.8042569677855617,D8,PRIORITÉ 1 — Contacter en urgence
32,blue-collar,married,secondary,yes,-1,yes,no,,9,may,653,1,,0,,yes,1,1,Q1 — Faible solde,FROID,0.6650016761428348,D6,PRIORITÉ 1 — Contacter en urgence
60,technician,married,primary,no,65,yes,no,,9,may,1028,2,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.8355318063597683,D8,PRIORITÉ 1 — Contacter en urgence
26,blue-collar,single,secondary,no,82,yes,no,,9,may,654,1,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.7661378880910501,D7,PRIORITÉ 1 — Contacter en urgence
40,blue-collar,married,secondary,no,10,yes,no,,9,may,1692,2,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.8903117905145518,D9,PRIORITÉ 1 — Contacter en urgence
33,blue-collar,divorced,primary,no,390,yes,no,,9,may,665,2,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.7140648824881389,D7,PRIORITÉ 1 — Contacter en urgence
32,management,single,tertiary,no,311,no,no,,12,may,757,2,,0,,yes,1,1,Q2 — Solde moyen-bas,CHAUD,0.6868169524170369,D6,PRIORITÉ 1 — Contacter en urgence
35,blue-collar,married,primary,no,414,no,no,,13,may,504,4,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.3899569837062728,D5,PRIORITÉ 2 — À qualifier
33,management,divorced,secondary,no,5,yes,no,,13,may,1346,1,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.899848703215839,D9,PRIORITÉ 1 — Contacter en urgence
38,management,married,tertiary,no,119,yes,no,,13,may,568,4,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.43583803544749683,D5,PRIORITÉ 2 — À qualifier
23,entrepreneur,single,primary,no,4,yes,no,,13,may,395,2,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.20805835375101775,D4,PRIORITÉ 3 — Nurturing
60,blue-collar,married,primary,no,1262,yes,yes,,13,may,1015,1,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.8124438976844731,D8,PRIORITÉ 1 — Contacter en urgence
48,management,married,tertiary,no,1949,yes,no,,13,may,683,2,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.6815460685163993,D6,PRIORITÉ 1 — Contacter en urgence
45,entrepreneur,divorced,tertiary,no,-395,yes,no,,13,may,470,1,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.24496249021414312,D4,PRIORITÉ 3 — Nurturing
36,blue-collar,married,secondary,no,1165,yes,no,,13,may,1001,4,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.8272170198213753,D8,PRIORITÉ 1 — Contacter en urgence
52,management,married,,no,2240,yes,no,,13,may,845,1,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.7837554780036985,D7,PRIORITÉ 1 — Contacter en urgence
35,blue-collar,divorced,primary,no,300,yes,no,,13,may,945,2,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.8619882214032996,D8,PRIORITÉ 1 — Contacter en urgence
43,technician,married,secondary,no,3285,yes,no,,13,may,1721,2,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.8719641762016255,D9,PRIORITÉ 1 — Contacter en urgence
52,housemaid,married,secondary,no,3923,yes,no,,14,may,942,3,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.8304220004772862,D8,PRIORITÉ 1 — Contacter en urgence
53,technician,divorced,primary,no,1443,yes,no,,14,may,476,1,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.3779589751561164,D5,PRIORITÉ 2 — À qualifier
48,blue-collar,divorced,primary,no,24,yes,no,,14,may,832,1,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.8232449880785071,D8,PRIORITÉ 1 — Contacter en urgence
41,blue-collar,single,primary,no,1618,yes,no,,14,may,1553,1,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.8929035588440334,D9,PRIORITÉ 1 — Contacter en urgence
39,management,divorced,tertiary,no,517,yes,yes,,14,may,1328,1,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.8921378766798174,D9,PRIORITÉ 1 — Contacter en urgence
59,retired,married,secondary,no,1521,yes,yes,,14,may,1125,2,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.8196112131992443,D8,PRIORITÉ 1 — Contacter en urgence
41,blue-collar,married,secondary,no,2823,yes,no,,14,may,858,1,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.7942277955324017,D7,PRIORITÉ 1 — Contacter en urgence
48,blue-collar,married,secondary,no,1405,yes,no,,14,may,629,2,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.5030167544689879,D5,PRIORITÉ 2 — À qualifier
40,admin.,married,secondary,no,1535,yes,no,,14,may,704,1,,0,,yes,1,1,Q3 — Solde moyen-haut,CHAUD,0.7304426712346084,D7,PRIORITÉ 1 — Contacter en urgence
48,blue-collar,married,secondary,no,1596,yes,no,,14,may,760,1,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.6905684913173875,D6,PRIORITÉ 1 — Contacter en urgence
60,retired,married,primary,no,1542,yes,no,,14,may,930,1,,0,,yes,1,1,Q3 — Solde moyen-haut,CHAUD,0.809426132512666,D8,PRIORITÉ 1 — Contacter en urgence
40,technician,single,,no,3652,yes,no,,14,may,1028,2,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.851386748339676,D8,PRIORITÉ 1 — Contacter en urgence
57,technician,married,tertiary,no,-1,no,no,,14,may,850,2,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.7745809110607955,D7,PRIORITÉ 1 — Contacter en urgence
51,blue-collar,married,secondary,no,7180,yes,no,,14,may,927,1,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.8363747661478173,D8,PRIORITÉ 1 — Contacter en urgence
41,blue-collar,divorced,secondary,no,5291,yes,no,,14,may,1423,3,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.8736827909240715,D9,PRIORITÉ 1 — Contacter en urgence
41,blue-collar,married,secondary,no,1384,yes,no,,15,may,1162,4,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.8272170198213753,D8,PRIORITÉ 1 — Contacter en urgence
52,blue-collar,divorced,primary,no,-191,yes,no,,15,may,755,1,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.7564677171980151,D7,PRIORITÉ 1 — Contacter en urgence
59,blue-collar,married,primary,no,320,yes,no,,15,may,695,1,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.7114739817436199,D7,PRIORITÉ 1 — Contacter en urgence
44,blue-collar,married,,no,146,yes,no,,15,may,483,1,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.3411450624877213,D5,PRIORITÉ 3 — Nurturing
49,,married,primary,no,341,yes,yes,,15,may,520,2,,0,,yes,1,1,Q2 — Solde moyen-bas,FROID,0.44911638702105106,D5,PRIORITÉ 2 — À qualifier
40,services,married,primary,no,-9,yes,no,,15,may,920,2,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.8346578668428565,D8,PRIORITÉ 1 — Contacter en urgence
41,admin.,married,primary,no,-306,yes,no,,15,may,500,1,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.3878588411927797,D5,PRIORITÉ 2 — À qualifier
44,technician,married,tertiary,no,4580,yes,no,,15,may,911,2,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.8152679752515565,D8,PRIORITÉ 1 — Contacter en urgence
60,services,single,primary,no,313,yes,no,,15,may,920,2,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.820365249991457,D8,PRIORITÉ 1 — Contacter en urgence
29,management,married,tertiary,no,10576,no,no,,15,may,1224,2,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.9050814752640641,D9,PRIORITÉ 1 — Contacter en urgence
41,retired,divorced,primary,no,-233,yes,no,,15,may,1156,2,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.8952014406553215,D9,PRIORITÉ 1 — Contacter en urgence
41,blue-collar,married,primary,no,2453,yes,no,,15,may,1052,1,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.8205242487333188,D8,PRIORITÉ 1 — Contacter en urgence
42,technician,single,secondary,no,1364,yes,no,,15,may,1867,6,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.8874809345914061,D9,PRIORITÉ 1 — Contacter en urgence
36,services,single,,no,281,yes,no,,16,may,515,1,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.3841075655325381,D5,PRIORITÉ 2 — À qualifier
39,technician,married,tertiary,no,94,yes,yes,,16,may,813,1,,0,,yes,1,1,Q1 — Faible solde,FROID,0.8346507498288984,D8,PRIORITÉ 1 — Contacter en urgence
31,self-employed,single,tertiary,no,144,yes,no,,16,may,676,1,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.7015416981439762,D7,PRIORITÉ 1 — Contacter en urgence
26,blue-collar,married,secondary,no,246,yes,no,,16,may,1143,3,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.8725256786833105,D9,PRIORITÉ 1 — Contacter en urgence
31,blue-collar,married,secondary,no,92,yes,no,,16,may,688,1,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.7156463149627471,D7,PRIORITÉ 1 — Contacter en urgence
29,admin.,single,secondary,no,163,yes,yes,,16,may,803,1,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.8669759461091403,D9,PRIORITÉ 1 — Contacter en urgence
37,services,divorced,secondary,no,49,yes,no,,16,may,619,2,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.5722764202884529,D6,PRIORITÉ 2 — À qualifier
33,blue-collar,single,secondary,no,-416,yes,no,,16,may,767,2,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.7574966376653318,D7,PRIORITÉ 1 — Contacter en urgence
24,technician,single,secondary,no,409,yes,no,,16,may,912,1,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.9044334592552831,D9,PRIORITÉ 1 — Contacter en urgence
50,admin.,divorced,secondary,no,363,yes,no,,16,may,1340,1,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.8810139272679057,D9,PRIORITÉ 1 — Contacter en urgence
27,technician,single,tertiary,no,3706,yes,no,,16,may,897,1,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.8850851252901215,D9,PRIORITÉ 1 — Contacter en urgence
54,management,single,tertiary,no,4393,yes,no,,16,may,1297,3,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.8480941872676951,D8,PRIORITÉ 1 — Contacter en urgence
30,technician,single,secondary,no,863,yes,no,,16,may,1193,5,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.8796513000909147,D9,PRIORITÉ 1 — Contacter en urgence
34,blue-collar,married,primary,no,695,yes,yes,,16,may,1064,4,,0,,yes,1,1,Q3 — Solde moyen-haut,FROID,0.845259479273954,D8,PRIORITÉ 1 — Contacter en urgence
37,management,single,secondary,no,792,yes,no,,16,may,1187,4,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.8515914073014135,D8,PRIORITÉ 1 — Contacter en urgence
41,admin.,single,secondary,no,1020,yes,no,,19,may,882,1,,0,,yes,1,1,Q3 — Solde moyen-haut,CHAUD,0.8344742885245212,D8,PRIORITÉ 1 — Contacter en urgence
47,blue-collar,married,secondary,no,863,yes,no,,19,may,943,2,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.8256085313860855,D8,PRIORITÉ 1 — Contacter en urgence
31,admin.,married,secondary,no,97,yes,no,,19,may,607,1,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.4705984566153547,D5,PRIORITÉ 2 — À qualifier
31,blue-collar,married,secondary,no,754,yes,no,,19,may,1022,4,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.8333498678493689,D8,PRIORITÉ 1 — Contacter en urgence
43,services,divorced,secondary,no,1040,yes,no,,19,may,552,3,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.49252900233228225,D5,PRIORITÉ 2 — À qualifier
37,management,divorced,tertiary,no,122,yes,no,,19,may,1622,2,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.8946257063245109,D9,PRIORITÉ 1 — Contacter en urgence
30,technician,single,tertiary,no,880,yes,yes,,19,may,967,6,,0,,yes,1,1,Q3 — Solde moyen-haut,FROID,0.8940900499853635,D9,PRIORITÉ 1 — Contacter en urgence
41,technician,married,secondary,no,501,yes,no,,19,may,579,5,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.46454905716774264,D5,PRIORITÉ 2 — À qualifier
36,blue-collar,married,secondary,no,4438,yes,no,,20,may,446,1,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.13711759393921197,D4,PRIORITÉ 4 — Ne pas contacter
35,blue-collar,divorced,secondary,no,0,yes,no,,20,may,1205,1,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.8909933567502405,D9,PRIORITÉ 1 — Contacter en urgence
29,services,single,secondary,no,271,yes,no,,20,may,1882,2,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.9070234371581104,D9,PRIORITÉ 1 — Contacter en urgence
35,blue-collar,married,primary,no,102,yes,no,,20,may,1334,1,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.8372542508971135,D8,PRIORITÉ 1 — Contacter en urgence
31,blue-collar,married,secondary,no,2,yes,no,,20,may,182,2,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.023718563472669756,D1,PRIORITÉ 4 — Ne pas contacter
35,services,married,secondary,no,4170,yes,no,,20,may,1777,1,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.8620433134135437,D8,PRIORITÉ 1 — Contacter en urgence
34,technician,single,secondary,no,85,yes,no,,20,may,1182,4,,0,,yes,1,1,Q1 — Faible solde,FROID,0.864221451491825,D8,PRIORITÉ 1 — Contacter en urgence
31,admin.,single,secondary,no,431,yes,yes,,20,may,1045,1,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.8831774777934943,D9,PRIORITÉ 1 — Contacter en urgence
44,technician,divorced,secondary,no,982,yes,no,,20,may,650,3,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.7233833269474743,D7,PRIORITÉ 1 — Contacter en urgence
36,blue-collar,married,primary,no,408,yes,yes,,20,may,1063,2,,0,,yes,1,1,Q2 — Solde moyen-bas,FROID,0.8424337616505185,D8,PRIORITÉ 1 — Contacter en urgence
35,blue-collar,married,,no,4822,yes,no,,20,may,843,2,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.7912833502618517,D7,PRIORITÉ 1 — Contacter en urgence
41,blue-collar,married,primary,no,1250,yes,no,,20,may,1392,2,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.8271778484618596,D8,PRIORITÉ 1 — Contacter en urgence
31,blue-collar,single,primary,no,216,yes,no,,21,may,565,1,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.494143374330963,D5,PRIORITÉ 2 — À qualifier
34,blue-collar,married,secondary,no,1207,yes,no,,21,may,905,1,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.8028388498686655,D8,PRIORITÉ 1 — Contacter en urgence
32,technician,married,secondary,no,791,yes,no,,21,may,783,2,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.7392578271704479,D7,PRIORITÉ 1 — Contacter en urgence
36,management,married,tertiary,no,849,yes,yes,,21,may,958,2,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.8559020885470116,D8,PRIORITÉ 1 — Contacter en urgence
30,blue-collar,single,secondary,yes,239,yes,no,,21,may,412,1,,0,,yes,1,1,Q2 — Solde moyen-bas,FROID,0.13051986368894072,D4,PRIORITÉ 4 — Ne pas contacter
37,technician,single,secondary,no,1211,yes,no,,21,may,795,1,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.8053800461622043,D8,PRIORITÉ 1 — Contacter en urgence
36,blue-collar,married,primary,no,599,yes,no,,21,may,649,2,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.6541018234053473,D6,PRIORITÉ 1 — Contacter en urgence
31,management,single,tertiary,no,825,yes,no,,21,may,506,2,,0,,yes,1,1,Q3 — Solde moyen-haut,CHAUD,0.3980055184836951,D5,PRIORITÉ 2 — À qualifier
27,technician,married,secondary,no,2183,yes,yes,,21,may,857,1,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.8506724821845114,D8,PRIORITÉ 1 — Contacter en urgence
34,retired,married,primary,no,4499,no,no,,21,may,1681,1,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.8881474447858342,D9,PRIORITÉ 1 — Contacter en urgence
30,technician,single,tertiary,no,1289,yes,no,,21,may,1697,2,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.8827089496491041,D9,PRIORITÉ 1 — Contacter en urgence
32,technician,single,tertiary,no,4665,yes,no,,21,may,860,2,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.8299213027534031,D8,PRIORITÉ 1 — Contacter en urgence
37,technician,single,secondary,no,3326,yes,no,,21,may,799,1,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.8072059389074759,D8,PRIORITÉ 1 — Contacter en urgence
32,blue-collar,married,secondary,no,783,yes,no,,21,may,923,3,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.8300986037662322,D8,PRIORITÉ 1 — Contacter en urgence
33,blue-collar,married,secondary,no,0,yes,no,,21,may,521,3,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.37437079329964706,D5,PRIORITÉ 2 — À qualifier
35,blue-collar,married,primary,no,994,yes,no,,23,may,1349,8,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.8655583815967764,D9,PRIORITÉ 1 — Contacter en urgence
35,self-employed,divorced,tertiary,no,1354,yes,no,,23,may,736,2,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.7302311283368055,D7,PRIORITÉ 1 — Contacter en urgence
30,blue-collar,single,secondary,no,239,yes,no,,23,may,785,1,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.764426571970365,D7,PRIORITÉ 1 — Contacter en urgence
45,blue-collar,divorced,primary,no,-311,yes,no,,23,may,1030,1,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.9140904981698863,D9,PRIORITÉ 1 — Contacter en urgence
45,admin.,married,secondary,no,149,yes,no,,23,may,893,3,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.8202918719060038,D8,PRIORITÉ 1 — Contacter en urgence
33,blue-collar,married,secondary,no,1464,yes,no,,23,may,588,3,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.4339112174615535,D5,PRIORITÉ 2 — À qualifier
44,management,divorced,tertiary,no,5773,no,no,,23,may,597,6,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.5339250011650339,D6,PRIORITÉ 2 — À qualifier
40,blue-collar,married,primary,no,278,yes,no,,23,may,1015,3,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.8272804744358908,D8,PRIORITÉ 1 — Contacter en urgence
31,blue-collar,married,secondary,no,2910,yes,no,,23,may,1392,2,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.8313368490761774,D8,PRIORITÉ 1 — Contacter en urgence
30,technician,married,tertiary,no,541,yes,no,,26,may,414,2,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.13585014264326534,D4,PRIORITÉ 4 — Ne pas contacter
44,technician,divorced,secondary,no,1262,yes,no,,26,may,788,11,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.7902206680889554,D7,PRIORITÉ 1 — Contacter en urgence
34,services,married,secondary,no,-538,yes,no,,26,may,682,1,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.7310457942260841,D7,PRIORITÉ 1 — Contacter en urgence
37,blue-collar,married,secondary,no,125,no,no,,26,may,679,2,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.7044140391824701,D7,PRIORITÉ 1 — Contacter en urgence
28,self-employed,single,tertiary,no,0,yes,no,,26,may,1560,2,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.9279609510290552,D10,PRIORITÉ 1 — Contacter en urgence
32,admin.,single,secondary,no,620,yes,no,,26,may,1234,3,,0,,yes,1,1,Q3 — Solde moyen-haut,CHAUD,0.8565265617585034,D8,PRIORITÉ 1 — Contacter en urgence
37,blue-collar,divorced,secondary,no,316,yes,no,,26,may,642,2,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.599346175018033,D6,PRIORITÉ 2 — À qualifier
34,management,married,tertiary,no,2287,yes,no,,26,may,895,4,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.8051194615763627,D8,PRIORITÉ 1 — Contacter en urgence
38,admin.,divorced,secondary,no,198,yes,no,,26,may,431,2,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.14249317688314506,D4,PRIORITÉ 4 — Ne pas contacter
28,admin.,single,secondary,no,460,yes,no,,26,may,741,6,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.8156119260645474,D8,PRIORITÉ 1 — Contacter en urgence
31,management,divorced,tertiary,no,1145,yes,no,,26,may,1272,4,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.8689848776639861,D9,PRIORITÉ 1 — Contacter en urgence
59,services,married,secondary,no,-22,yes,no,,26,may,748,3,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.7375964706632282,D7,PRIORITÉ 1 — Contacter en urgence
